country,date,Daily Vaccinations
France,2021-01-28,78072.0
France,2021-01-29,76418.0
France,2021-01-30,75747.0
France,2021-01-31,75666.0
France,2021-02-01,76290.0
Estonia,2020-12-28,0.0
Estonia,2020-12-29,309.0
Estonia,2020-12-30,338.0
Estonia,2020-12-31,567.0
Estonia,2021-01-01,570.0
Estonia,2021-01-02,459.0
Estonia,2021-01-03,385.0
Estonia,2021-01-04,333.0
Estonia,2021-01-05,382.0
Estonia,2021-01-06,589.0
Estonia,2021-01-07,675.0
Estonia,2021-01-08,784.0
Estonia,2021-01-09,1099.0
Estonia,2021-01-10,1176.0
Estonia,2021-01-11,1205.0
Estonia,2021-01-12,1244.0
Estonia,2021-01-13,1210.0
Estonia,2021-01-14,1178.0
Estonia,2021-01-15,1243.0
Estonia,2021-01-16,1109.0
Estonia,2021-01-17,1061.0
Estonia,2021-01-18,1043.0
Estonia,2021-01-19,1060.0
Estonia,2021-01-20,1000.0
Estonia,2021-01-21,1015.0
Estonia,2021-01-22,1074.0
Estonia,2021-01-23,1106.0
Estonia,2021-01-24,1112.0
Estonia,2021-01-25,1122.0
Estonia,2021-01-26,1124.0
Estonia,2021-01-27,1302.0
Estonia,2021-01-28,1378.0
Estonia,2021-01-29,1403.0
Estonia,2021-01-30,1647.0
Estonia,2021-01-31,1727.0
Estonia,2021-02-01,1781.0
Estonia,2021-02-02,1862.0
Bahrain,2020-12-23,0.0
Bahrain,2020-12-24,11106.0
Bahrain,2020-12-25,5789.0
Bahrain,2020-12-26,4197.0
Bahrain,2020-12-27,3662.0
Bahrain,2020-12-28,3210.0
Bahrain,2020-12-29,2846.0
Bahrain,2020-12-30,2622.0
Bahrain,2020-12-31,1225.0
Bahrain,2021-01-01,1258.0
Bahrain,2021-01-02,1220.0
Bahrain,2021-01-03,1011.0
Bahrain,2021-01-04,943.0
Bahrain,2021-01-05,1122.0
Bahrain,2021-01-06,1594.0
Bahrain,2021-01-07,1942.0
Bahrain,2021-01-08,2706.0
Bahrain,2021-01-09,3437.0
Bahrain,2021-01-10,4080.0
Bahrain,2021-01-11,4427.0
Bahrain,2021-01-12,4840.0
Bahrain,2021-01-13,4699.0
Bahrain,2021-01-14,5332.0
Bahrain,2021-01-15,6361.0
Bahrain,2021-01-16,7572.0
Bahrain,2021-01-17,7473.0
Bahrain,2021-01-18,7176.0
Bahrain,2021-01-19,6546.0
Bahrain,2021-01-20,6110.0
Bahrain,2021-01-21,5457.0
Bahrain,2021-01-22,4084.0
Bahrain,2021-01-23,2555.0
Bahrain,2021-01-24,2445.0
Bahrain,2021-01-25,2784.0
Bahrain,2021-01-26,3194.0
Bahrain,2021-01-27,3372.0
Bahrain,2021-01-28,3096.0
Bahrain,2021-01-29,2629.0
Bahrain,2021-01-30,2199.0
Bahrain,2021-01-31,1841.0
Bahrain,2021-02-01,1514.0
Bahrain,2021-02-02,1160.0
Chile,2020-12-24,0.0
Chile,2020-12-25,4771.0
Chile,2020-12-26,3958.0
Chile,2020-12-27,2742.0
Chile,2020-12-28,2069.0
Chile,2020-12-29,1665.0
Chile,2020-12-30,1396.0
Chile,2020-12-31,1204.0
Chile,2021-01-01,530.0
Chile,2021-01-02,88.0
Chile,2021-01-03,51.0
Chile,2021-01-04,51.0
Chile,2021-01-05,250.0
Chile,2021-01-06,272.0
Chile,2021-01-07,344.0
Chile,2021-01-08,417.0
Chile,2021-01-09,489.0
Chile,2021-01-10,562.0
Chile,2021-01-11,635.0
Chile,2021-01-12,508.0
Chile,2021-01-13,559.0
Chile,2021-01-14,1038.0
Chile,2021-01-15,1437.0
Chile,2021-01-16,1366.0
Chile,2021-01-17,1291.0
Chile,2021-01-18,2699.0
Chile,2021-01-19,5267.0
Chile,2021-01-20,5632.0
Chile,2021-01-21,6328.0
Chile,2021-01-22,5882.0
Chile,2021-01-23,6000.0
Chile,2021-01-24,6020.0
Chile,2021-01-25,4557.0
Chile,2021-01-26,2235.0
Chile,2021-01-27,1866.0
Chile,2021-01-28,613.0
Chile,2021-01-29,581.0
Chile,2021-01-30,455.0
Chile,2021-01-31,919.0
Chile,2021-02-01,1384.0
Chile,2021-02-02,1547.0
United Kingdom,2020-12-20,0.0
United Kingdom,2020-12-21,46706.0
United Kingdom,2020-12-22,46706.0
